SLP,SP,AT,Tmin,GT,DPT,Evap,HCC,K,CUPE,runoff
1006.09,962.88,29.78,25.67,28.92,22.49,-2.2608,0.67,32.58,1358.57,37.734375
1007.5,964.08,27.63,24.98,27.12,23.01,-2.8082,0.99,34.75,523.77,37.484375
1006.57,963.11,26.87,24.38,25.52,23.3,-2.2838,0.96,34.77,867.53,38.234375
1004.02,960.71,27.53,24.69,26.04,22.79,-2.2773,1,33.08,544.88,39.796875
1003.44,960.24,27.92,24.59,26.97,22.52,-2.6241,0.99,30.8,490.34,40.28125
1002.75,959.66,28.49,25.14,27.54,21.99,-2.3646,0.88,30.28,303.25,39.96875
1001.1,958.2,30.67,25.87,29.64,21.27,-2.6519,0.65,32.32,55.07,38.90625
1000.46,957.58,30.56,26.37,29.79,21.83,-2.4593,0.69,33.29,93.14,37.59375
992.32,949.63,28.8,25.31,28.28,22.57,-3.7927,0.79,35.86,65.68,38.171875
992.76,949.89,26.31,25.32,24.02,24.41,-2.7214,0.95,35.62,130.76,48.671875
1002.65,959.47,28.96,25.73,26.96,23.12,-4.2346,0.34,34.47,110.07,65.640625
1006.92,963.59,28.03,25.06,26.95,24.05,-4.0167,0.23,34.69,1111.71,70.984375
1007.2,963.85,29.26,25.09,27.37,23.42,-4.2969,0.52,33.97,900.97,67.765625
1006.58,963.22,28.1,24,27.49,23.34,-4.285,0.83,34.73,1043.76,62.90625
1006.46,963.15,28.52,24.44,27.33,23.43,-4.0872,0.23,33.18,976.84,57.6875
1004.21,961.13,29.88,24.5,28.58,22.56,-4.3263,0.32,26.66,90.67,52.984375
1002.53,959.44,29.39,25.14,28.37,23.21,-3.8632,0.63,34.83,811.53,48.734375
1005.11,961.63,25.86,23.95,25.09,23.81,-2.944,0.98,35.54,1060.61,48.125
1008.75,965.2,26.08,21.93,24.25,20.37,-3.5446,0.59,18.31,145.68,57.515625
1010.83,967.2,26.27,21.38,24.72,19.37,-3.9077,0,17.35,15.39,67.234375
1010.78,967.13,25.77,21.02,23.84,18.05,-3.9424,0.13,19.4,1.36,64.328125
1011.6,967.81,24.02,19.45,22.24,15.88,-3.5786,0.66,18.53,0,58.34375
1011.8,967.98,25.55,22.16,24.22,17.33,-3.3453,0.48,27.07,4.57,52.875
1013.41,969.54,25.15,22.03,23.64,19.3,-2.5504,0.92,31.29,2.67,48.3125
1014.61,970.76,26.29,23.34,25.32,20.4,-2.8427,0.84,33.97,3.76,44.5
1015.11,971.29,27,24.76,25.89,22.38,-3.0496,0.66,34.54,448.56,41.453125
1014.87,971.13,27.86,24.4,26.51,23,-3.1125,0.15,33.44,647.05,39.578125
1012.09,968.57,29.05,24.72,27.57,21.92,-3.1109,0.02,32.14,505.56,38.71875
1010.73,967.32,29.04,23.97,27.99,20.42,-2.893,0.44,23.53,145.69,37.8125
1011.85,968.41,29.54,24.18,28.11,19.95,-2.5908,0.69,21.52,41.53,36.78125
1012.08,968.56,28.62,23.82,28.1,21.28,-2.3807,0.32,29.22,90.59,35.75
1009.42,965.93,27.56,23.26,26.94,22.46,-2.4616,0.27,34.45,1655.86,34.9375
1007.44,963.99,27.46,23.03,26.25,22.1,-3.2125,0.17,32.49,725.17,34.78125
1008.15,964.75,27.72,21.75,26.79,20.85,-2.6271,0,14.05,187.72,35.171875
1010.82,967.29,26.51,18.44,25.37,15.06,-2.7192,0,-5.71,5.23,35.25
1011.23,967.51,25.17,19.38,24.46,13.27,-2.4572,0,-16.39,0,34.53125
1012.14,968.41,26.81,22.9,25.93,18,-1.9049,0.15,23.98,78.48,33.796875
1010.57,967.04,27.82,22.69,26.22,19.33,-1.6049,0.14,18.36,10.28,33.21875
1007.63,964.24,28.53,24.95,27.67,17.63,-1.896,0.33,13.7,21.03,32.671875
1003.57,960.35,29.02,26.9,27.79,20.69,-1.2372,0.49,32.93,57.03,32.25
1003.59,960.3,27.2,24.67,25.21,22.26,-1.9663,0.97,34.06,82.65,32.140625
1008.16,964.62,26.32,23.42,24.51,23.19,-2.4524,0.96,33.07,561.49,32.484375
1009.69,966.21,27.1,22.29,26.55,20.28,-2.191,0.94,20.77,2.73,32.71875
1013.14,969.38,26.16,20.85,26.51,18.08,-2.2423,0.42,27.37,8.2,32.171875
1016.96,972.55,20.48,19.82,19.6,16.1,-0.8671,0.2,27.32,8.89,31.640625
1013.43,969.44,23.96,20.55,22.69,17.35,-1.5295,0,26.92,2.15,31.1875
1011.5,967.6,23.72,20.49,23.07,17.67,-1.3804,0.2,25.96,2.27,30.78125
1012.17,968.4,25.62,22.07,24.7,18.22,-1.5798,0.49,29.08,2.54,30.390625
1014.02,970.2,25.56,21.81,25.1,19.27,-1.606,0.93,28.24,13.38,30.078125
1013.8,970.04,26.26,20.38,25.23,16.28,-1.6494,0.63,21.88,0,29.78125
1014.78,970.85,24.1,18.03,23.09,10.08,-1.7805,0.38,0.75,0,29.4375
1014.65,970.61,22.08,14.82,21.16,8.89,-1.5619,0.01,-30.81,0,29.109375
1013.29,969.32,21.51,13.93,20.52,7.24,-1.4548,0,-30.2,0,28.8125
1011.66,967.81,23.87,18.11,22.79,12.4,-1.3086,0,-1.84,0.97,28.53125
1006.02,962.36,24.53,21.51,22.78,17.71,-1.8381,0.7,31.38,9.94,29.875
1005.93,962.15,21.87,21.2,20.29,20.56,-0.7538,0.47,33.58,16.18,38.546875
1010.77,966.9,24.39,21.81,22.23,20.73,-2.5379,0.1,33.46,209.46,53.421875
1013.55,969.64,24.78,21.91,23.17,20.58,-2.3587,0,30.27,54.12,60.109375
1014.36,970.5,25.74,21.71,23.78,20.54,-2.2599,0,27.86,56.29,58.875
1014.43,970.62,24.65,17.11,22.83,17.36,-2.5443,0,-3.42,0.35,53.890625
1015.37,971.3,22.32,15.13,20.46,10.48,-2.8677,0,-31.97,0,48.203125
1014.59,970.53,21.76,15.81,20.02,13.13,-2.2088,0,-21.58,0,42.953125
1014.47,970.49,22.17,16.22,20.27,14.91,-1.858,0.45,1.71,0,38.585938
1018.11,973.77,22.42,17.77,21.17,12.89,-2.1415,0.21,6.9,0.3,35.257812
1022.18,977.51,19.07,13.1,17.57,7.74,-1.935,0.11,-0.67,0,32.914062
1022.34,977.7,19.51,15.63,18.04,10.1,-1.6188,0.01,16.74,0,31.25
1021.4,976.84,20.43,17.04,19.36,12.24,-1.4018,0.47,25.27,1.06,30.039062
1020.56,975.97,19.63,16.7,18.69,15.23,-1.2147,0.02,27.23,3.57,29.1875
1018.59,974.12,20.86,18.82,19.28,14.08,-1.009,0,22.86,5.01,28.507812
1017.69,973.32,20.46,14.92,19.1,11.15,-1.3983,0,12.84,0.74,27.945312
1018.07,973.64,19.32,13.22,18.07,6.82,-1.5879,0,2.04,0,27.476562
1016.27,971.87,18.94,13.16,17.32,7,-1.4292,0.06,-10.61,0,27.070312
1016.34,971.89,19.16,14.18,17.7,6.25,-1.347,0.23,-29.9,0,26.726562
1019.83,975.02,16.92,10.48,15.25,2.1,-1.1911,0,-24.6,0,26.4375
1021.28,976.44,15.59,8.33,14.17,3.13,-0.9872,0,-17.95,0,26.1875
1020.88,976.14,15.74,8.76,14.71,6,-0.8987,0.07,-10.96,0,25.945312
1020.5,975.96,17.61,11.54,16.47,7.7,-0.8979,0.41,-0.4,0,25.703125
1020.35,975.86,17.51,11.25,15.71,9.02,-0.6268,0.03,6.93,0,25.484375
1019.32,974.97,21.06,13.95,19.29,12.61,-0.8664,0,19.1,7.97,25.210938
1019.57,975.21,21.44,15.87,19.53,13.37,-0.7357,0.01,16.38,0.58,24.9375
1018.27,973.9,22.56,18.14,20.74,13.96,-0.6362,0.68,20.65,1.91,24.671875
1017.49,973.15,20.96,18.79,20.13,17,-1.2415,0.5,32.54,7.48,24.65625
1020.61,975.95,19.06,17.14,17.27,17.73,-1.0782,0.35,28.22,15.72,25.421875
1023.21,978.44,18.72,16.05,16.59,14.66,-0.9701,0.09,16.03,0.13,26.695312
1021.29,976.74,20.3,17.07,19,13.99,-1.3244,0.08,24.77,0.03,27.054688
1021.31,976.69,18.51,15.3,16.27,15.74,-1.5277,0,7.98,0.32,26.8125
1019.9,975.43,18.73,12.94,17.4,12.87,-1.4854,0,-7.3,0,26.328125
1018.77,974.44,20.08,14.72,18.33,13.97,-1.409,0,17.1,0,25.625
1018.09,974,22.6,17.28,20.24,16.88,-1.1767,0.2,17.2,0.62,24.914062
1018.21,974.06,22.49,19.3,21.84,18.27,-0.725,0.88,30.33,13.07,24.4375
1019.12,974.39,17.41,15.13,16.45,16.63,-0.7929,1,27.5,36.43,25.664062
1018.52,973.48,14.19,13.34,13.48,13.5,-1.104,0.32,25.45,18.1,31.148438
1019.92,974.86,15.05,13.51,13.55,13.03,-0.9932,0,20.6,25.52,41.609375
1021.81,976.73,15.67,14.61,14.2,12.79,-1.1061,0,13.92,7.02,48.421875
1022.13,977.08,14.99,11.63,12.84,11.22,-1.107,0,7.72,0.43,46.734375
1021.34,976.38,13.74,7.73,12.16,8.94,-1.7493,0.02,-9.6,0,42
1022.91,977.82,13.48,7.9,10.82,5.93,-1.9098,0,-18.74,0,36.929688
1024.25,979.01,11.99,6.75,9.79,3.35,-1.8505,0,-13.54,0,32.523438
1023.69,978.42,10.96,4.6,9.09,2.67,-1.7082,0.01,-21.77,0,29.203125
1021.88,976.85,13.16,6.28,11.52,6.24,-1.5318,0.17,-19.11,0.46,27.03125
1021.8,976.93,13.9,7.78,12.21,7.07,-1.4901,0,12.91,0.46,25.71875
1021.8,976.94,15.25,8.76,13.31,9.72,-1.3333,0,18.46,0.27,24.867188
1017.98,973.47,17.34,12.12,15.45,12.07,-1.3177,0.11,23.88,0.72,24.320312
1017.67,972.45,13.71,7.54,11.24,11.14,-1.6884,0.28,3.71,11.75,24.382812
1020.62,975.18,10.67,5.8,8.54,4.29,-1.6997,0,-34.63,0.01,25.140625
1019.31,974.25,12.01,5.96,10.33,6.51,-1.3736,0,-10.02,5.7,26
1024.86,979.11,10.43,6.84,7.75,7.66,-0.869,0.11,8.72,7.62,25.5625
1028.66,982.35,8.36,3.01,6.16,-0.5,-1.7898,0.07,-34.18,0,24.75
1026.65,980.35,6.72,1.57,4.12,-2.9,-1.2737,0.02,-51.65,0,24.171875
1024.19,978.47,8.88,1.9,5.47,-0.21,-1.2036,0.06,-36.23,0,23.773438
1024.59,979.15,9.98,3.55,6.66,-0.22,-1.2227,0,-15.6,0,23.421875
1021.96,976.8,9.35,3.11,7.76,1.12,-1.1858,0,-19.21,0.03,23.117188
1019.67,974.77,12.36,4.26,9.55,4.63,-1.0576,0,0.78,0.97,22.835938
1020.9,975.72,10.7,4.79,8.48,2.14,-1.0915,0,-21.53,0,22.59375
1019.66,974.65,12.7,4.88,10.8,6.29,-0.8889,0,-19.48,0.2,22.351562
1019.29,974.32,13.01,7.76,10.13,5.35,-1.0017,0,0.13,0,22.125
1019.92,974.95,12.09,6.84,10.82,7.89,-0.6729,0.02,1.56,0.47,21.914062
1016.48,971.85,15.15,8.08,13.01,10.63,-0.7073,0.46,12.52,7.75,21.703125
1018.22,973.08,13.61,7.37,12.26,6.57,-1.3071,0.34,6.59,0.67,21.484375
1018.93,973.57,10.99,7.55,9.75,3.31,-0.8577,0.75,2.29,3.76,21.296875
1021.3,975.66,10.69,7.91,9.34,0.27,-0.8314,0.96,6.91,2.49,21.101562
1021,975.43,11.28,8.12,10.18,4.33,-0.5797,0.01,20.24,17.36,20.921875
1022.47,977.25,13.69,9.54,11.83,6.91,-0.7825,0.42,20.42,1.7,20.71875
1024.69,979.09,12,10.78,10.79,8.23,-0.4239,0.9,20.88,2.23,20.640625
1022.85,977.16,10.51,8.85,9.88,9.59,-1.0583,0.94,23.18,11.41,22.375
1020.69,974.62,8.12,6.88,7.27,7.34,-1.0584,0.91,17.02,5.76,32.0625
1020.38,974.07,6.99,5.6,5.93,5.57,-1.0572,0.62,9.2,11.12,57.59375
1025.53,978.85,6.19,3.65,4.36,1.73,-0.8811,0,-19.12,0.48,87.390625
1027,980.38,5.99,1.06,3.96,-0.38,-1.329,0,-33.73,0,95.265625
1028,981.44,5.39,0.61,3.54,-1.66,-1.3138,0,-28.95,0,87.0625
1029.15,982.41,4.89,-0.1,3.22,-2.8,-1.334,0,-20.81,0,76.90625
1027.46,981,5.49,-0.36,3.07,-3.02,-1.252,0,-16.34,0,67.625
1026.86,980.67,6.85,0.93,4.68,0.21,-1.1208,0,-1.26,0,59.359375
1026.85,980.67,6.88,1.43,5.14,-0.2,-1.2393,0,-6.79,0,51.96875
1024.48,978.46,6.87,1.81,5.22,-0.2,-1.1664,0,-3.91,0.01,45.40625
1025.8,979.39,7.25,2,5.1,-2.54,-1.3675,0,-15.58,0,39.59375
1027.63,980.67,3.64,-1.91,2.03,-6.99,-1.2579,0,-55.37,0,34.625
1026.45,979.72,4.28,-1.8,2.14,-6.76,-1.1832,0,-30.51,0,30.65625
1025.16,978.79,5.66,-0.9,2.63,-6.18,-1.1227,0,-24.7,0,27.671875
1024.16,978.16,6.47,0.75,3.86,-3.85,-1.1176,0,-18.9,0,25.59375
1022.64,976.93,7.42,0.74,4.22,-4.34,-1.1415,0,-29.28,0,24.1875
1019.99,974.75,7.15,0.76,5.74,-1.67,-1.12,0,-27.62,0,23.234375
1016.9,972.1,12.08,1.57,8.89,3.96,-1.0731,0,-0.69,0.48,22.546875
1018.16,973.23,11.63,4.25,9.31,4.15,-1.0711,0,7.55,0,22.078125
1021.32,975.84,8.7,2.7,6.49,-0.31,-1.089,0,-20.78,0,21.75
1021.31,975.74,7.73,1.49,6.21,-0.42,-0.9844,0,-36.24,0.01,21.5
1020.37,974.91,9.78,2.02,7.43,3.01,-0.8478,0,-2.09,0.01,21.25
1017.79,972.69,12.61,6.97,11.08,8.58,-0.7981,0,18.72,5.48,21.1875
1024.7,978.69,9.88,7.94,8.8,6.03,-0.9739,0,10.46,18.06,22.046875
1028.22,981.81,8.44,6.49,7.28,3.82,-0.818,0,6.68,2.53,23.671875
1027.64,981.45,9.23,6.05,7.47,3.68,-0.822,0,11.33,0.92,23.671875
1025.89,980.26,11.66,7.46,10.61,7.31,-0.6829,0,19.53,11.78,22.484375
1028.56,982.16,8.66,7.21,7.87,5.55,-0.5894,0,13.9,4.45,21.625
1028.01,981.26,6.47,4.27,5.14,4,-0.7822,0.15,13.64,1.48,21.375
1029.78,983.01,5.43,0.17,3.72,0.93,-1.1679,0.03,-30.9,0.23,22.171875
1028.56,982.14,5.39,-0.76,4.26,-1.4,-1.1371,0.08,-26.54,0,23.109375
1025.82,979.93,7.77,0.03,5.24,0.59,-1.035,0,-32.08,0.02,22.5
1026.8,980.99,8.82,2.16,6.51,1.52,-1.0978,0,-8.81,0,21.625
1030.73,984.44,6.92,-0.87,4.97,-2.42,-1.165,0,-51.16,0,21.046875
1027.96,981.88,6.77,-0.16,4.65,-0.41,-0.9306,0.01,-55.33,0,20.703125
1027.22,981.16,7.54,1.14,5.45,-1.17,-1.0598,0.15,-15.46,0,20.4375
1029.69,983.07,5.27,-1.84,3.47,-7.96,-1.1743,0,-40.69,0,20.1875
1027.84,981.35,4.08,-2.76,2.7,-7.88,-0.9916,0,-60.17,0,19.984375
1023.25,977.42,6.1,-1.95,4.12,-2.7,-0.8875,0,-49.04,0.02,19.78125
1018.99,973.97,9.91,0.25,7.37,2.52,-0.9384,0,-33.66,0.54,19.546875
1019.63,974.75,12.77,5.53,11.13,5.98,-0.7776,0,8.43,5.94,19.34375
1023.43,977.88,11.26,6.36,9.82,6.2,-0.4856,0,13.84,6.2,19.171875
1021.78,976.55,10.43,4.53,9.54,2.82,-0.9956,0,11.95,0.1,18.984375
1020.75,975.87,12.91,5.07,11.96,6.2,-0.9753,0,15.5,0.54,18.78125
1018.89,974.27,15.58,7.55,13.13,7.52,-0.8941,0,17.08,1.02,18.5625
1019.01,974.55,14.86,7.42,13.8,8.35,-0.9602,0,-27.19,0,18.375
1017.21,972.74,16.28,8.15,14.82,8.11,-1.1469,0,-23.52,0,18.1875
1014.05,969.8,16.74,10.33,14.36,8.41,-0.9705,0,-5.25,0,18
1009.98,965.96,17.86,10.61,15.03,8.98,-0.9817,0,0.07,0,17.8125
1012.78,968.48,18.11,11.31,16.36,9.91,-0.9846,0.01,4.76,1.63,17.625
1018.32,972.8,11.5,7.69,10.88,5.53,-0.5374,0.08,7.07,5.48,17.46875
1016.84,971.31,10.35,8.67,9.35,6.87,-0.4001,0,13.17,6.07,17.375
1012,967.5,14.82,10.52,13.93,10.51,-0.863,0,19.03,3.53,17.28125
1015.62,969.94,9.23,6.76,8.75,7.22,-1.2756,0,20.61,6.42,17.34375
1016.53,970.72,8.56,6.9,8.18,6.43,-0.7208,0.54,19.28,11.49,18.25
1021.58,974.68,3.59,1.62,2.61,2.6,-1.4202,0.25,10.33,18.95,22.21875
1025.32,978.07,3.22,0.42,1.99,-3.19,-1.1617,0,-5.2,4.28,30.34375
1022.86,976.05,4.49,0.62,3.74,-3.49,-1.3772,0,-7.69,0.92,35.1875
1023.33,976.73,5.57,3,5.22,0.42,-1.1184,0,10.86,13.07,33.40625
1026.57,979.48,3.64,2.55,2.6,2.09,-1.1576,0,6.64,1.07,31.5625
1025.57,978.78,4.77,1.92,3.61,0.7,-1.1878,0,-27.53,0.05,32.1875
1023.1,976.94,7.82,2.32,7.66,3,-1.2659,0,3.78,2.08,31.53125
1021.19,975.3,8.01,6.3,7.76,7.43,-0.4409,0,22.49,19.76,30
1019.44,974.01,10.75,8.65,10.54,9.58,-0.4909,0,27.27,42.52,32.09375
1023.09,976.44,5.68,2.3,4.58,4.7,-0.8581,0.32,13.04,11.27,39.65625
1027.78,980.87,4.47,1.18,2.81,0.68,-1.158,0.47,-28.82,0.07,52.75
1028.87,982.38,5.88,0.46,4.24,-0.76,-1.6109,0.39,-32.69,0,63.1875
1026.78,980.81,8.18,1.57,6.6,1.64,-1.6527,0.32,-20.46,0,60.375
1025.22,979.71,10.7,3.72,8.6,4.43,-1.735,0.11,7.51,4.77,53.40625
1023.8,978.59,13.79,6.81,11.99,7.36,-1.6494,0.02,16.13,2.62,46.59375
1021.29,975.99,12.18,10.42,10.79,11.19,-0.568,0.01,24.8,7.9,41.09375
1018.94,974.03,14.02,11.71,13.16,12.74,-0.6925,0.22,30.98,18.07,40.1875
1020.92,975.99,14.31,11.36,12.33,12.15,-0.8644,0,6.96,5.43,48.3125
1019.11,974.35,16.5,12.64,14.39,12.49,-1.3249,0,12.82,6.3,58.4375
1015.5,971.05,17.14,13.56,16.1,12.69,-1.6382,0.06,29.02,1.02,57.53125
1016.11,971.12,14.28,10.45,13.47,12.58,-1.3709,0.03,27.94,23.77,53.65625
1019.68,973.99,9.94,8.57,9.48,8.19,-0.9147,0.03,21.62,10.44,57.9375
1020.45,974.62,9.3,8.36,8.86,7.51,-0.8918,0.01,24.04,7.79,68.3125
1021.78,975.95,9.81,8.21,8.98,8.43,-0.5431,0,17.48,7.27,70.4375
1021.66,975.97,11.26,7.85,10.45,6.84,-1.2663,0.03,9.83,12.93,65.78125
1024.68,978.16,6.77,6.4,5.88,5.54,-1.0365,0,17.83,16.1,59.9375
1024.87,978.43,6.92,6.52,6.49,5.93,-0.9609,0.32,21.56,9.56,59.8125
1023.17,976.98,8.12,6.41,7.09,7.2,-0.7018,0.09,14.02,5.82,72.1875
1024.67,978.83,9.66,5.83,7.66,5.62,-1.6165,0,-11.03,1.05,86.78125
1024.94,979.25,12.02,7.14,10.84,4.38,-2.2468,0.09,10.96,4.24,88.1875
1020.15,974.85,11.75,10.32,11.59,9.3,-1.4098,0.76,28.78,36.85,82.5
1015.54,970.61,12.98,10.47,12.4,12.16,-0.8952,0.32,26.6,50.27,88.09375
1022.29,976.92,12.41,7.59,10.43,7.93,-1.7269,0.03,6,10.88,106.84375
1024.42,978.97,11.98,6,9.64,3.08,-2.4984,0.19,-11.41,0,113.65625
1022.35,977.26,13.84,6.95,11.34,5.03,-2.4794,0.11,20.01,3.34,104.8125
1020.65,975.71,13.53,11.28,13.55,11.36,-1.026,0.05,30.56,36.34,94.1875
1017.26,972.93,18.08,13.71,15.98,14.76,-1.645,0.53,2.92,17.57,87.40625
1014.33,970.28,20.8,15.45,18.93,16.65,-1.5668,0.31,25.57,740.37,81.6875
1012.66,968.58,20.92,16.13,19.45,16.45,-2.4893,0.65,32.13,416.85,74.875
1023.01,977.21,10.87,7.78,9.3,8.56,-2.5356,0.29,17.75,8.49,74.125
1023.79,978.2,11,5.25,9.48,4.4,-2.5909,0.02,-4.03,0.12,79.875
1023.46,978.12,13.31,7.06,11.46,4.3,-2.7674,0.11,4.1,0,79.75
1023.79,978.64,14.34,9.52,11.64,7.22,-2.3084,0.01,16.04,0,72.96875
1017.82,973.34,18.32,12.28,16.2,11.68,-2.7725,0.12,25.18,0,65.1875
1013.21,969.19,20.59,15.3,17.85,13.35,-2.5274,0,26.12,9.56,58.03125
1013.41,969.36,21.2,16.79,19.07,16.01,-2.6785,0.38,31.38,415.92,51.90625
1013.69,969.48,20.13,16.47,18.68,16.93,-2.7533,0.38,32.73,351.32,48.15625
1010.27,966.28,20.05,17.34,19.56,17.75,-2.4673,0.79,34.32,646.31,50.09375
1011.08,966.96,19.36,13.86,17.01,15.9,-2.2821,0.36,10.12,119.26,65.4375
1012.36,968.06,19.2,14.12,17.95,14.16,-3.4942,0.99,21.02,18.96,96.0625
1012.06,967.33,14.49,14.16,13.53,13.4,-1.1475,0.46,28.93,58.91,124.6875
1012.92,968.42,16.3,14.67,15.13,14.22,-1.3088,0.2,21.47,14.29,152.84375
1012.98,968.68,18.56,15.91,16.92,14.78,-1.9368,0.71,28.04,9.48,163.125
1016.08,971.64,17.97,14.11,15.31,13.26,-2.0387,0.1,22.79,23.35,153.59375
1016.67,972.22,18.05,12.05,16.26,11.34,-2.8696,0,13.2,4.9,141.59375
1017.67,973.29,19.04,13.61,17.05,10.63,-3.2112,0.56,13.46,0,127.84375
1020.68,975.58,15.08,11.95,13.84,10.9,-1.7926,0.86,24.34,1.79,114.84375
1017.27,972.55,15.45,12.52,14.74,12.74,-1.8158,0.64,28.86,6.86,104.90625
1015.83,971.26,16.89,14.4,15.68,15.83,-1.2006,0.52,31.78,23.87,102.09375
1015.61,971.35,19.33,14.06,17.2,13.77,-2.865,0.22,-11.66,1.92,107
1014.92,970.82,21.96,16.33,19.71,14.13,-3.4393,0.19,7.77,0.64,106.78125
1011.92,967.99,22.15,17.09,20.32,14.33,-3.6339,0,25.03,0.47,97.5625
1010.17,966.48,24.28,20.17,21.99,17.64,-3.134,0,29.25,12.7,87.625
1014.61,970.46,22.2,19.83,21.18,17.64,-2.5672,0,22.95,21,80.34375
1018.2,973.62,19.25,15.55,17.45,14.35,-1.3917,0.06,13.41,9.32,76.71875
1014.73,970.47,20.94,17.13,19.01,10.57,-4.1487,0.53,19.44,0.09,72.4375
1010.07,966.39,24.28,19.32,22.05,16.95,-3.4319,0.31,23.97,13.84,66.0625
1010.35,966.73,26.1,22.13,22.97,19.44,-3.2144,0.1,26.51,111.7,59.34375
1010.65,966.96,26.37,21.15,24.68,19.27,-3.6179,0.15,23.42,39.44,53.53125
1010.63,966.9,24.54,20.38,23.98,18.67,-3.0779,0.18,30.74,32.34,49
1013.11,968.92,20.83,19.6,20.36,17.93,-1.5842,0,28.93,17.91,46.59375
1011.51,967.58,22.71,19.53,22.37,18.78,-2.6222,0.22,32.53,73.91,48.40625
1014.92,970.58,19.94,18.46,18.93,16.55,-2.0587,0.05,27.05,19.64,61.4375
1014.6,969.98,16.11,14.79,15.58,13.85,-1.4684,0.42,32.01,49.76,81.59375
1013.55,969.19,18.13,14.98,17.97,16.82,-2.385,0.43,34.64,89.09,89.46875
1013.51,969.31,20.37,18.53,19.29,19.16,-1.874,0.77,34.01,146.95,99.03125
1013.99,969.83,20.99,19.56,20.42,19.43,-1.7844,0.75,32.56,204.64,105.4375
1015.5,971.2,20.25,15.6,19.72,16.24,-3.5622,0.58,6.53,4.73,103.53125
1014.94,970.74,21.29,17.44,19.3,13.23,-3.9132,0.01,1.45,0.66,98.875
1013.8,969.63,21.11,17.18,19.89,14.03,-3.5451,0.32,20.28,5.17,91.59375
1015.03,970.46,16.26,14.46,14.9,14.66,-1.1976,0.45,19.02,3.42,83.1875
1015.24,971.04,20.33,14.19,18.76,13.94,-3.7532,0.01,-10.61,0.93,75.40625
1016.85,972.77,22.92,15.99,20.1,13.45,-4.0023,0.15,-5.15,0.43,68.40625
1015.67,971.52,22.83,16.97,20.94,13.98,-3.6025,0.77,15.94,2.72,61.84375
1014.15,969.84,19.42,15.53,18.78,15.34,-3.5424,0.98,28.52,2.7,58.46875
1019.54,974.7,16.81,14.7,15.39,12.15,-1.5974,0.95,20.47,3.72,75.78125
1017.15,972.54,17.4,13.11,15.17,10.19,-2.9792,0.92,15.35,0.02,101.84375
1013.64,969.29,17.91,15.15,16.9,13.64,-2.0546,0.84,15.58,0.09,99.6875
1011.99,968.02,22.95,16.8,20.79,15.39,-3.4942,0.97,22.03,28.78,90.5625
1011.88,967.55,18.05,16.39,16.77,16,-2.5112,0.85,30.78,3.65,85.53125
1008.5,964.73,22.34,19.21,21.74,18.07,-3.0258,0.6,32.04,7.37,86.46875
1008.1,964.4,23.83,21.71,23.41,21.11,-2.429,0.8,34.05,226.27,87.375
1009.56,965.67,22.66,21.34,21.05,20.9,-1.4602,0,34.97,62.57,95.9375
1004.88,961.4,24.65,21.79,23.41,21.42,-3.0668,0.27,35.35,180.08,113.53125
1002.61,959.26,25.32,22.3,24.42,22.59,-3.3177,0.6,34.95,806.76,120.0625
1006.86,963.23,24.02,21.5,23.33,20.15,-2.9119,0.04,32.03,18.66,150.96875
1009.38,965.56,22.13,20.67,21.98,20.76,-1.9678,0.14,33.92,121.96,187.21875
1008.42,964.69,22.6,21.28,22.46,21.32,-2.0111,0.81,34.58,447.03,187.90625
1009.02,965.29,24.26,21.91,23.4,22,-2.5696,0.44,33.66,538.74,213.71875
1007.59,963.9,23.38,21.56,22.75,21.78,-2.3587,0.13,33.31,487.67,251.71875
1007.79,964.19,24.17,19.23,22.63,19.36,-3.7639,0.07,6.19,76.07,279.4375
1007.5,963.73,23.01,18.1,22.47,17.98,-3.6728,0.74,31.14,145.21,293.75
1008.43,964.41,20.2,18.44,19.34,18.98,-2.5155,0.47,33.81,75.11,334.75
1012.09,968.13,22.64,19.6,21.51,19.85,-2.1777,0.17,30.95,4.73,433.28125
1011.24,967.52,25.11,21.22,23.57,21.78,-2.5912,0.69,33.79,66.22,456.46875
1009.94,966.29,25.46,23.5,24.09,23.4,-2.1812,0.9,34.99,773.38,428.25
1009.08,965.37,24.41,22.45,23.14,22.51,-2.2331,0.32,33.98,567.02,421.3125
1008.01,964.3,24.53,21.98,22.38,21.53,-2.854,0.43,31.34,85.36,416.59375
1007.49,964.11,25.77,22.49,24.59,20,-3.9739,0.37,14.21,1.54,394.40625
1008.23,964.54,23.28,21.19,22.36,17.04,-3.328,0.65,33.15,22.1,359.25
1008.73,965,23.45,21.94,22.85,21.45,-2.482,0.56,35.9,201.75,324.84375
1008.38,964.78,24.62,22.97,24.35,23.02,-2.6213,0.94,35.65,579.86,307.59375
1004.66,961.43,27.51,23.42,26.28,22.95,-3.8612,0.97,34.72,1012.1,295.375
1003.91,960.48,25.59,22.61,24.56,22.87,-3.5445,0.75,20.75,620.28,276.0625
1004.14,960.81,26.22,20.1,24.16,19.71,-4.3848,0.58,10.12,1.83,263.21875
1003.47,960.26,27.23,23.12,25.42,19.46,-4.5631,0.34,20.19,0.15,246.15625
1004.74,961.18,23.67,22.21,23.47,21.58,-1.7864,0.66,36.31,100.92,223.96875
1003.6,960.1,24.26,22.8,23.33,22.54,-2.2484,0.54,35.01,368.16,232.28125
